OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
4c41a4b74cd6bcd4b9f4e1ad19b8ff65	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	g__Parabacteroides; s__
92b9d5ece12d330034da405854b823fd	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	f__Erysipelotrichaceae; g__	f__Erysipelotrichaceae; g__; s__
e3c1395f5267f0738bc852ee11518eb4	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__johnsonii
2495829a1d7994608cf38456c21a7589	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	g__Streptococcus; s__
bb7956bb438878ea57d10b0ee089df4a	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	f__C111; g__	f__C111; g__; s__
3e6155e718751002032c37499bb48b24	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales; f__	o__Rhizobiales; f__; g__	o__Rhizobiales; f__; g__; s__
aac875d4772b56a162bdae9c42b79704	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	g__Nocardioides; s__
cca5b2d3d7e1c9007be818f18879a22a	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	c__Gemm-3; o__	c__Gemm-3; o__; f__	c__Gemm-3; o__; f__; g__	c__Gemm-3; o__; f__; g__; s__
adc65e8dd97b0ede369012dad3efdc6b	k__Bacteria	p__Verrucomicrobia	c__[Spartobacteria]	o__[Chthoniobacterales]	f__[Chthoniobacteraceae]	g__DA101	g__DA101; s__
128193965ef62c88b076e39a4e902d5e	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	g__Neisseria; s__
4a7c0138c683a765f1a15acec519e235	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__pylori
5f52856173ff1b01633d6cd952c4ba91	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Adlercreutzia	g__Adlercreutzia; s__
649622f77181ef73366ca415821ca85e	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
b05650c93a1ea189f15e83635100c56f	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales; f__	o__Clostridiales; f__; g__	o__Clostridiales; f__; g__; s__
5d75b6825907266023d0a44a33fa0387	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	f__Peptostreptococcaceae; g__	f__Peptostreptococcaceae; g__; s__
3879086b01442138113e5724fc232ea7	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
87237a8b7175e2c89930f1b977613d65	k__Bacteria	p__Verrucomicrobia	c__[Spartobacteria]	o__[Chthoniobacterales]	f__[Chthoniobacteraceae]	g__DA101	g__DA101; s__
c50bc76dfbefbcd04ac32e987b9cd274	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__acidifaciens
b0dbe95dc02a3664109fea3ec2eb14e3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	g__Propionibacterium; s__
9384f04aa1f2b92466b4e8eb9b7376a2	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	g__Prevotella; s__
7170a366544763f8631f5306c4b79886	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	g__Prevotella; s__
